UC Campus,CC,UC Course Requirement,Courses Group 1
University of California Berkeley,West Hills College Lemoore,MATH 1A,MATH 001A (5.00)
University of California Berkeley,West Hills College Lemoore,MATH 1B,MATH 001B (5.00)
University of California Berkeley,West Hills College Lemoore,MATH 53,MATH 002A (4.00)
University of California Berkeley,West Hills College Lemoore,MATH 54,MATH 002B (4.00); MATH 003A (4.00)
University of California Berkeley,West Hills College Lemoore,PHYSICS 7A,PHYSICS 004A (4.00)
University of California Berkeley,West Hills College Lemoore,PHYSICS 7B,PHYSICS 004B (4.00)
University of California Berkeley,West Hills College Lemoore,ENGLISH R1A,ENG 001 (4.00)
University of California Berkeley,West Hills College Lemoore,ENGLISH R1B,ENG 003 (3.00)
University of California Berkeley,West Hills College Lemoore,ASTRON 7A,Not Articulated
University of California Berkeley,West Hills College Lemoore,ASTRON 7B,Not Articulated
University of California Berkeley,West Hills College Lemoore,BIOLOGY 1A; BIOLOGY 1AL,Not Articulated
University of California Berkeley,West Hills College Lemoore,BIOLOGY 1B,Not Articulated
University of California Berkeley,West Hills College Lemoore,CHEM 1A; CHEM 1AL,CHEM 001A (5.00)
University of California Berkeley,West Hills College Lemoore,CHEM 1B,CHEM 001B (5.00)
University of California Berkeley,West Hills College Lemoore,CHEM 3A; CHEM 3AL,Not Articulated
University of California Berkeley,West Hills College Lemoore,CHEM 3B; CHEM 3BL,Not Articulated
University of California Berkeley,West Hills College Lemoore,MCELLBI 32; MCELLBI 32L,Not Articulated
University of California Berkeley,West Hills College Lemoore,PHYSICS 7C,PHYSICS 004C (4.00)
University of California Berkeley,West Hills College Lemoore,COMPSCI 61A,Not Articulated
University of California Berkeley,West Hills College Lemoore,COMPSCI 61B,Not Articulated
University of California Berkeley,West Hills College Lemoore,COMPSCI 61C,Not Articulated
University of California Berkeley,West Hills College Lemoore,COMPSCI 70,Not Articulated
University of California Berkeley,West Hills College Lemoore,EECS 16A,Not Articulated
University of California Berkeley,West Hills College Lemoore,EECS 16B,Not Articulated
University of California Davis,West Hills College Lemoore,ECS 020,Not Articulated
University of California Davis,West Hills College Lemoore,ECS 036A,Not Articulated
University of California Davis,West Hills College Lemoore,ECS 036B,Not Articulated
University of California Davis,West Hills College Lemoore,ECS 036C,Not Articulated
University of California Davis,West Hills College Lemoore,ECS 050,Not Articulated
University of California Davis,West Hills College Lemoore,MAT 021A,MATH 001A (5.00)
University of California Davis,West Hills College Lemoore,MAT 021B,MATH 001B (5.00)
University of California Davis,West Hills College Lemoore,MAT 021C,MATH 002A (4.00)
University of California Davis,West Hills College Lemoore,MAT 022A,MATH 003A (4.00)
University of California Davis,West Hills College Lemoore,MAT 027A,Not Articulated
University of California Davis,West Hills College Lemoore,MAT 067,Not Articulated
University of California Davis,West Hills College Lemoore,BIS 002A,BIO 001A (4.00)
University of California Davis,West Hills College Lemoore,BIS 002B,Not Articulated
University of California Davis,West Hills College Lemoore,BIS 002C,BIO 001B (4.00)
University of California Davis,West Hills College Lemoore,CHE 002A; CHE 002B; CHE 002C,CHEM 001A (5.00); CHEM 001B (5.00)
University of California Davis,West Hills College Lemoore,CHE 004A,Not Articulated
University of California Davis,West Hills College Lemoore,CHE 004B,Not Articulated
University of California Davis,West Hills College Lemoore,CHE 004C,Not Articulated
University of California Davis,West Hills College Lemoore,PHY 009A,PHYSICS 004A (4.00); PHYSICS 004B (4.00); PHYSICS 004C (4.00)
University of California Davis,West Hills College Lemoore,PHY 009B,PHYSICS 004A (4.00); PHYSICS 004B (4.00); PHYSICS 004C (4.00)
University of California Davis,West Hills College Lemoore,PHY 009C,PHYSICS 004A (4.00); PHYSICS 004B (4.00); PHYSICS 004C (4.00)
University of California Irvine,West Hills College Lemoore,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated
University of California Irvine,West Hills College Lemoore,MATH 2A,MATH 001A (5.00)
University of California Irvine,West Hills College Lemoore,MATH 2B,MATH 001B (5.00)
University of California Irvine,West Hills College Lemoore,MATH 3A,MATH 003A (4.00)
University of California Irvine,West Hills College Lemoore,I&C SCI 6N,Not Articulated
University of California Irvine,West Hills College Lemoore,I&C SCI 6B,Not Articulated
University of California Irvine,West Hills College Lemoore,I&C SCI 6D,Not Articulated
University of California Irvine,West Hills College Lemoore,I&C SCI 45C,Not Articulated
University of California Irvine,West Hills College Lemoore,I&C SCI 46,Not Articulated
University of California Irvine,West Hills College Lemoore,I&C SCI 51,Not Articulated
University of California Irvine,West Hills College Lemoore,I&C SCI 53,Not Articulated
University of California Irvine,West Hills College Lemoore,IN4MATX 43,Not Articulated
University of California Irvine,West Hills College Lemoore,STATS 67,Not Articulated
University of California Los Angeles,West Hills College Lemoore,COM SCI 31,Not Articulated
University of California Los Angeles,West Hills College Lemoore,COM SCI 32,Not Articulated
University of California Los Angeles,West Hills College Lemoore,COM SCI 33,Not Articulated
University of California Los Angeles,West Hills College Lemoore,COM SCI 35L,Not Articulated
University of California Los Angeles,West Hills College Lemoore,COM SCI M51A,Not Articulated
University of California Los Angeles,West Hills College Lemoore,EC ENGR M16,Not Articulated
University of California Los Angeles,West Hills College Lemoore,MATH 31A,MATH 001A (5.00)
University of California Los Angeles,West Hills College Lemoore,MATH 31B,MATH 001B (5.00)
University of California Los Angeles,West Hills College Lemoore,MATH 32A,MATH 002A (4.00)
University of California Los Angeles,West Hills College Lemoore,MATH 32B,MATH 002A (4.00)
University of California Los Angeles,West Hills College Lemoore,MATH 33A,MATH 003A (4.00)
University of California Los Angeles,West Hills College Lemoore,MATH 33B,MATH 002B (4.00)
University of California Los Angeles,West Hills College Lemoore,MATH 61,Not Articulated
University of California Los Angeles,West Hills College Lemoore,PHYSICS 1A; PHYSICS 1B; PHYSICS 1C,PHYSICS 004A (4.00); PHYSICS 004B (4.00); PHYSICS 004C (4.00)
University of California Los Angeles,West Hills College Lemoore,PHYSICS 4AL,Not Articulated
University of California Los Angeles,West Hills College Lemoore,PHYSICS 4BL,Not Articulated
University of California Los Angeles,West Hills College Lemoore,ENGCOMP 3,ENG 001 (4.00)
University of California Los Angeles,West Hills College Lemoore,,Not Articulated
University of California Los Angeles,West Hills College Lemoore,,Not Articulated
University of California Merced,West Hills College Lemoore,CSE 022,ENGR 015 (3.00)
University of California Merced,West Hills College Lemoore,CSE 030,Not Articulated
University of California Merced,West Hills College Lemoore,MATH 021,MATH 001A (5.00)
University of California Merced,West Hills College Lemoore,MATH 022,MATH 001B (5.00)
University of California Merced,West Hills College Lemoore,MATH 023,MATH 002A (4.00)
University of California Merced,West Hills College Lemoore,MATH 024,MATH 003A (4.00); MATH 002B (4.00)
University of California Merced,West Hills College Lemoore,PHYS 008; PHYS 008L,PHYSICS 004A (4.00)
University of California Merced,West Hills College Lemoore,PHYS 009; PHYS 009L,PHYSICS 004B (4.00)
University of California Merced,West Hills College Lemoore,CSE 015,Not Articulated
University of California Merced,West Hills College Lemoore,CSE 022,ENGR 015 (3.00)
University of California Merced,West Hills College Lemoore,CSE 024,Not Articulated
University of California Merced,West Hills College Lemoore,CSE 030,Not Articulated
University of California Merced,West Hills College Lemoore,CSE 031,Not Articulated
University of California Merced,West Hills College Lemoore,ENGR 065,ENGR 025 (3.00); MATH 002B (4.00)
University of California Merced,West Hills College Lemoore,ENGR 091,Not Articulated
University of California Merced,West Hills College Lemoore,MATH 032,Not Articulated
University of California Merced,West Hills College Lemoore,ENGR 080,Not Articulated
University of California Merced,West Hills College Lemoore,WRI 001,ENG 001 (4.00)
University of California Merced,West Hills College Lemoore,WRI 010,ENG 003 (3.00)
University of California Riverside,West Hills College Lemoore,CS 10A,ENGR 015 (3.00)
University of California Riverside,West Hills College Lemoore,CS 10B,Not Articulated
University of California Riverside,West Hills College Lemoore,MATH 9A; MATH 9B; MATH 9C,MATH 001A (5.00); MATH 001B (5.00)
University of California Riverside,West Hills College Lemoore,PHYS 40A,PHYSICS 004A (4.00)
University of California Riverside,West Hills College Lemoore,CS 11,Not Articulated
University of California Riverside,West Hills College Lemoore,CS 10C,Not Articulated
University of California Riverside,West Hills College Lemoore,CS 61,Not Articulated
University of California Riverside,West Hills College Lemoore,MATH 10A,MATH 002A (4.00)
University of California Riverside,West Hills College Lemoore,PHYS 40B,PHYSICS 004B (4.00); PHYSICS 004C (4.00)
University of California Riverside,West Hills College Lemoore,PHYS 40C,PHYSICS 004B (4.00)
University of California Riverside,West Hills College Lemoore,EE 20B,Not Articulated
University of California Riverside,West Hills College Lemoore,MATH 31,Not Articulated
University of California San Diego,West Hills College Lemoore,CSE 8A,Not Articulated
University of California San Diego,West Hills College Lemoore,CSE 8B,Not Articulated
University of California San Diego,West Hills College Lemoore,CSE 11,Not Articulated
University of California San Diego,West Hills College Lemoore,CSE 12,Not Articulated
